title,rating,total ulasan,category,alamat,jam operasional,opsi layanan,link
,,,,,,,
Rumah Makan Pecel Kawi Hj Musilah Asli 1975,"4,3",(5.317),Restoran,,⋅ Buka Sab pukul 05.00,"Makan di tempat, Bawa pulang, Pesan antar",https://www.google.com/maps/place/Rumah+Makan+Pecel+Kawi+Hj+Musilah+Asli+1975/data=!4m7!3m6!1s0x2dd62827639c20fd:0xc5b6351c172eca87!8m2!3d-7.9757225!4d112.6200297!16s%2Fg%2F11d_7s2bn_!19sChIJ_SCcYyco1i0Rh8ouFxw1tsU?authuser=0&hl=id&rclk=1
Warung Pecel Bu Susi Pojok Sempu,"4,3",(719),Jawa,,⋅ Buka Sab pukul 06.00,"Makan di tempat, Bawa pulang",https://www.google.com/maps/place/Warung+Pecel+Bu+Susi+Pojok+Sempu/data=!4m7!3m6!1s0x2dd628036369dc39:0x7ea2c0b1d55b837!8m2!3d-7.9940878!4d112.625511!16s%2Fg%2F11b6_hw7nn!19sChIJOdxpYwMo1i0RN7hVHQss6gc?authuser=0&hl=id&rclk=1
Nasi Pecel Mbak Pur,"4,6",(662),Jawa,,⋅ Buka Sab pukul 05.30,"Makan di tempat, Bawa pulang",https://www.google.com/maps/place/Nasi+Pecel+Mbak+Pur/data=!4m7!3m6!1s0x2dd62803870c8fb7:0xe362b8242fe9e657!8m2!3d-7.99561!4d112.6259747!16s%2Fg%2F11cnb2fypt!19sChIJt48MhwMo1i0RV-bpLyS4YuM?authuser=0&hl=id&rclk=1
Pecel Dan Rawon Glintung Bu Yatirah,"4,4",(1.895),Jawa,,⋅ Buka Sab pukul 06.00,"Makan di tempat, Bawa pulang",https://www.google.com/maps/place/Pecel+Dan+Rawon+Glintung+Bu+Yatirah/data=!4m7!3m6!1s0x2dd629c6db0b44cf:0x7ee1670de28de512!8m2!3d-7.9467091!4d112.640163!16s%2Fg%2F11b6gfkv5q!19sChIJz0QL28Yp1i0REuWN4g1n4X4?authuser=0&hl=id&rclk=1
Pecel Panderman (Mustika),"4,5",(846),Jawa,,⋅ Buka Sab pukul 06.00,"Makan di tempat, Bawa pulang, Tidak menyediakan layanan pengiriman",https://www.google.com/maps/place/Pecel+Panderman+%28Mustika%29/data=!4m7!3m6!1s0x2e78829d21348a45:0x4f46ff20f504b488!8m2!3d-7.9733151!4d112.6171024!16s%2Fg%2F11bxfkc3rw!19sChIJRYo0IZ2CeC4RiLQE9SD_Rk8?authuser=0&hl=id&rclk=1
Pecel Berkah,"4,4",(1.205),Sarapan,,⋅ Buka Sab pukul 05.00,"Makan di tempat, Bawa pulang",https://www.google.com/maps/place/Pecel+Berkah/data=!4m7!3m6!1s0x2dd629e25cbe6fcd:0xec9d1dc814265d6!8m2!3d-7.9365777!4d112.6255213!16s%2Fg%2F1pzx5syds!19sChIJzW--XOIp1i0R1mVCgdzRyQ4?authuser=0&hl=id&rclk=1
Nasi Pecel Pincuk Winongo,"4,5",(762),Restoran,,⋅ Buka Sab pukul 06.30,"Makan di tempat, Bawa pulang",https://www.google.com/maps/place/Nasi+Pecel+Pincuk+Winongo/data=!4m7!3m6!1s0x2dd62930ff3eaa01:0x122cad140b0e1489!8m2!3d-7.9732686!4d112.6203272!16s%2Fg%2F11fkqybwty!19sChIJAao-_zAp1i0RiRQOCxStLBI?authuser=0&hl=id&rclk=1
PECEL SAMBAL TUMPANG BU DJAROT DINOYO,"4,7",(955),Jawa,,⋅ Buka Sab pukul 05.30,"Makan di tempat, Bawa pulang, Antar tanpa bertemu",https://www.google.com/maps/place/PECEL+SAMBAL+TUMPANG+BU+DJAROT+DINOYO/data=!4m7!3m6!1s0x2e78820d7f32175b:0x3222abd6e293f449!8m2!3d-7.9388834!4d112.6078227!16s%2Fg%2F11b75fcqyx!19sChIJWxcyfw2CeC4RSfST4tarIjI?authuser=0&hl=id&rclk=1
Pecel Kane,"4,6",(1.293),Jawa,,⋅ Buka Sab pukul 07.00,"Makan di tempat, Bawa pulang",https://www.google.com/maps/place/Pecel+Kane/data=!4m7!3m6!1s0x2e788271a8736f49:0x205892cbe8693c2e!8m2!3d-7.9492731!4d112.6108332!16s%2Fg%2F11bw478zv4!19sChIJSW9zqHGCeC4RLjxp6MuSWCA?authuser=0&hl=id&rclk=1
